"yr","stdg_cd","dat_no","jan","feb","mar","apr","may","jun","july","aug","sep","oct","nov","dec","qu_1","qu_2","qu_3","qu_4","ht_1","ht_2","yr_vl","pd_se","frst_reg_dt","last_mdfcn_dt"
"2021","4573000000",M020011,,,,,,,,,,,,,,,,,,,2123,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4273000000",M020011,,,,,,,,,,,,,,,,,,,2811,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2635000000",M020011,,,,,,,,,,,,,,,,,,,13091,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4717000000",M020011,,,,,,,,,,,,,,,,,,,9995,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4146100000",M020011,,,,,,,,,,,,,,,,,,,5182,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4690000000",M020011,,,,,,,,,,,,,,,,,,,2945,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4413000000",M020011,,,,,,,,,,,,,,,,,,,11567,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4272000000",M020011,,,,,,,,,,,,,,,,,,,3758,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4784000000",M020011,,,,,,,,,,,,,,,,,,,2803,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4812900000",M020011,,,,,,,,,,,,,,,,,,,5749,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4282000000",M020011,,,,,,,,,,,,,,,,,,,1777,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4792000000",M020011,,,,,,,,,,,,,,,,,,,2804,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4413100000",M020011,,,,,,,,,,,,,,,,,,,6693,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4824000000",M020011,,,,,,,,,,,,,,,,,,,5347,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4476000000",M020011,,,,,,,,,,,,,,,,,,,5233,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4772000000",M020011,,,,,,,,,,,,,,,,,,,2286,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4281000000",M020011,,,,,,,,,,,,,,,,,,,1332,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4886000000",M020011,,,,,,,,,,,,,,,,,,,3174,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4157000000",M020011,,,,,,,,,,,,,,,,,,,9620,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4773000000",M020011,,,,,,,,,,,,,,,,,,,6024,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4715000000",M020011,,,,,,,,,,,,,,,,,,,8125,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4785000000",M020011,,,,,,,,,,,,,,,,,,,3326,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4374000000",M020011,,,,,,,,,,,,,,,,,,,3502,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4513000000",M020011,,,,,,,,,,,,,,,,,,,12082,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4129000000",M020011,,,,,,,,,,,,,,,,,,,1417,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4311400000",M020011,,,,,,,,,,,,,,,,,,,4239,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4793000000",M020011,,,,,,,,,,,,,,,,,,,3785,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4415000000",M020011,,,,,,,,,,,,,,,,,,,5647,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","4167000000",M020011,,,,,,,,,,,,,,,,,,,4734,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4165000000",M020011,,,,,,,,,,,,,,,,,,,4788,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4111000000",M020011,,,,,,,,,,,,,,,,,,,22002,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4377000000",M020011,,,,,,,,,,,,,,,,,,,3835,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4776000000",M020011,,,,,,,,,,,,,,,,,,,1603,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","2914000000",M020011,,,,,,,,,,,,,,,,,,,7922,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4427000000",M020011,,,,,,,,,,,,,,,,,,,5274,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","3023000000",M020011,,,,,,,,,,,,,,,,,,,6634,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4211000000",M020011,,,,,,,,,,,,,,,,,,,9170,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4128500000",M020011,,,,,,,,,,,,,,,,,,,4617,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2019","4777000000",M020011,,,,,,,,,,,,,,,,,,,3752,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","1135000000",M020011,,,,,,,,,,,,,,,,,,,15020,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2021","2911000000",M020011,,,,,,,,,,,,,,,,,,,4657,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","4161000000",M020011,,,,,,,,,,,,,,,,,,,6577,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2018","4372000000",M020011,,,,,,,,,,,,,,,,,,,2585,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
"2020","2717000000",M020011,,,,,,,,,,,,,,,,,,,8822,M030004,2023-07-13 07:12:11.400,2023-07-13 07:12:11.400
