yr,stdg_cd,M020008,M020009,M020010,M020011,M020012,M020013,M020014,M020015,M020016,M020017
2021,4811000000,18540,10899,7641,,60014,96188,28027,19035,14957,17436
2021,4812000000,,,,34661,,,,,,
2021,4812100000,4050,2272,1778,6339,11131,21190,7785,3183,4412,2878
2021,4812300000,4818,3073,1745,4469,8140,24666,5317,5297,2877,5567
2021,4812500000,2704,1549,1155,9324,15700,16779,4404,3088,2799,2909
2021,4812700000,2613,1379,1234,8095,13690,15140,4380,2772,2602,2801
2021,4812900000,4355,2626,1729,6434,11353,18339,6141,4695,2267,3281
2021,4817000000,6183,3475,2708,14505,24878,36836,11601,6491,8021,6134
2021,4822000000,4811,3879,932,6435,10707,12032,4041,1982,2341,2062
2021,4824000000,4055,3030,1025,6248,10444,10423,3249,2526,1479,1873
2021,4825000000,24236,16418,7818,13999,23447,46238,13005,10722,6427,9511
2021,4827000000,3626,1474,2152,8578,13734,9162,3341,1322,2047,1364
2021,4831000000,8115,5437,2678,6038,10537,23705,7879,6007,2883,3620
2021,4833000000,8205,5033,3172,11380,19751,31722,8143,8359,3995,7966
2021,4872000000,944,578,366,3133,4728,2275,1092,155,602,154
2021,4873000000,3980,3138,842,4481,7157,4866,1840,906,819,659
2021,4874000000,3218,2118,1100,5287,8513,4972,2022,437,1144,411
2021,4882000000,1491,1028,463,4435,7199,3924,1691,408,868,379
2021,4884000000,1018,830,188,4690,7629,2904,1418,129,839,125
2021,4885000000,634,251,383,4146,6744,3340,1552,274,901,202
2021,4886000000,756,322,434,3532,5758,2786,1374,80,869,67
2021,4887000000,535,262,273,3945,6232,2993,1277,271,783,248
2021,4888000000,721,341,380,4845,7952,4549,1964,476,1053,501
2021,4889000000,768,417,351,5333,8289,3242,1668,111,880,109
2021,5000000000,,,,,,,,,,
2021,5011000000,16899,9308,7591,13833,24781,49661,12650,4764,8505,4843
2021,5013000000,8311,4980,3331,6724,12437,18063,5208,1815,3230,1913
